Key|Summary|Created Date|Resolution Date|Status|Type|Lead Time|Cycle Time|Resolution Type|Project
GGMA-951|Network Message for BB Add Still Says it Costs £3.00|2013-08-19|Closed|Defect|90|0|Fixed (Externally)
GGMA-952|Additional testing for 5.12 Sprint 1|2013-06-24|Closed|Story|34|0|Complete
GGMA-966|Additional testing for 5.12 Sprint 2|2015-08-13|Closed|Story|814|0|Complete
GGMA-986|Refactor copy tags used in the recruits table so we don't need to add new copies any time a new SKU is created|2013-05-22|Closed|Defect|1|0|Fixed
GGMA-987|gremlings screen displayed to members in my payment history access during activation in progress|2015-08-13|Closed|Defect|813|0|Complete
GGMA-988|Ordering a lost and stolen sim sets current sim status to 4|2014-01-23|Closed|Defect|246|0|Fixed
GGMA-1002|goodybag  bags not expired in portal but working fine in fjs - inconsistency |2013-07-26|Closed|Defect|59|0|Fixed
GGMA-1005|URL to iframe a SIM order for Zombie campaign|2013-05-30|Closed|Story|2|0|Fixed
GGMA-1006|Landing Page AB testing from Conversion Works|2013-05-30|Closed|Story|1|0|Fixed
GGMA-1012|MGM sim orders contains surname in 'sFirstName' field of OBS005|2014-06-23|Closed|Defect|390|0|Complete
GGMA-1013|Optimizing the campaign script to avoid multiple getUserId calls to BE for napaman user|2013-05-30|Closed|Story|1|0|Complete
GGMA-1023|Bundle Expiry Script Investigation (Part 2)|2013-06-03|Closed|Story|4|0|Complete
GGMA-1024|Create New Script to Handle BlackBerry and Remove from Existing Script|2013-06-24|Closed|Story|25|0|Complete
GGMA-1031|Data is not shown correctly for BD007BB and BD013BB|2013-06-03|Closed|Defect|4|0|Fixed
GGMA-1038|Ops Investigation - A second request is sent which generates another goodybag causing multiple goodybags|2015-08-13|Closed|Story|804|0|Complete
GGMA-1040|Not Interested in Auto Settings, Remove Continue Button|2013-06-05|Closed|Story|5|0|Complete
GGMA-1042|top ups on lost on stolen sim orders are failing on live|2013-06-03|Closed|Defect|3|0|Fixed
GGMA-1048|Proof of Concept for Spread giffgaff - Download of Recruits by Super MGMers|2013-06-13|Closed|Story|10|0|Complete
GGMA-1050|(u'Retry Raise to Rightnow', 50836) - sucess Port in flows are getting stuck in bpm|2013-06-03|Closed|Defect|0|0|Fixed
GGMA-1052|CMS - unlockapedia page: cant create a new FAQ |2013-06-25|Closed|Defect|22|0|Fixed
GGMA-1053|Internal Server Error 500 displayed in Activation flow|2013-06-04|Closed|Defect|1|0|Fixed
GGMA-1054|User not allowed for a port in since a lost and stolen is still pending with them|2013-07-10|Closed|Defect|37|0|Complete
GGMA-1057|API Server Resilience|2013-08-15|Closed|Story|72|0|Complete
GGMA-1059|Session error on click of the Conitnue button in the activation flow|2013-06-04|Closed|Defect|0|0|Fixed
GGMA-1149|500 mins on �10|2013-06-12|Closed|Story|6|0|Complete
GGMA-1153|Support Tasks for Ops - 5.12 Sprint 2|2013-07-10|Closed|Story|34|0|Complete
GGMA-1154|Change FE so that Free SIM Orders go via PHG|2013-06-06|Closed|Story|0|0|Complete
GGMA-1156|Remove and Refund Goodybag Causes Inconsistencies|2013-06-18|Closed|Defect|12|0|Complete
GGMA-1157|Helper class to display the missing copy tags in msportal Recruits tab|2013-06-07|Closed|Defect|1|0|Fixed
GGMA-1160|Portal Removes Credit Card and Goodybag Details When Member Ports Out|2013-06-25|Closed|Story|19|0|Complete
GGMA-1161|the md5 module is deprecated error |2013-06-26|Closed|Defect|19|0|Fixed
GGMA-1179|SIM Limit Allocation Per Product - Friend SIM|2013-07-09|Closed|Story|27|0|Complete
GGMA-1187|Update Twitter and Facebook widgets in homepage|2013-06-13|Closed|Story|0|0|Complete
GGMA-1191|Update Config File with Final International Pricing|2013-06-24|Closed|Story|11|0|Complete
GGMA-6637|EU Roaming|2015-03-24|Closed|Epic|641|0|Complete
GGMA-3875|Remove User details from giffgaff - where requested as per DPA|2016-03-10|Closed|Story|993|0|Complete
GGMA-1238|Goodybag page bullet points are not aligned |2013-06-27|Closed|Defect|2|0|Fixed
GGMA-1240|Rejected PHG orders are not showing error|2013-06-26|Closed|Defect|0|0|Fixed
GGMA-1241|user_id is not sent to PHG for affiliate/member URL orders|2013-07-01|Closed|Defect|5|0|Fixed
GGMA-1242|Welcome to giffgaff popup is not displayed on dashboard after login|2013-07-05|Closed|Defect|9|0|Complete
GGMA-1244|Modify PortinUpdater batch script to update portin confirmation date|2013-06-26|Closed|Defect|0|0|Fixed
GGMA-1247|Portins Failed|2013-07-10|Closed|Defect|14|0|Complete
GGMA-1248|Exception for the api case|2013-08-07|Closed|Defect|41|0|Fixed
GGMA-1249|Standard MO shortcodes cannot be used on giffgaff|2013-08-20|Closed|Defect|54|0|Fixed (Externally)
GGMA-1252|Adding goodybag to basket from mobile site re-directs to full site|2015-08-13|Closed|Defect|777|0|Complete
GGMA-1253|insetcampaign for nano sims via vouchers is not working as expected|2013-08-19|Closed|Story|53|0|Fixed (Externally)
GGMA-1254|Application Identifier|2013-08-15|Closed|Story|49|0|Complete
GGMA-1255|API Authorisation|2013-08-15|Closed|Story|49|0|Complete
GGMA-1256|Application Throttling|2013-08-15|Closed|Story|49|0|Complete
GGMA-1257|Suppressed orders (dispatch status 6) should end in bpm flow|2015-06-01|Closed|Defect|703|0|Complete
GGMA-1258|Autofix logic needs to be fixed to not perform any bundle removal on inconsistency (when fujitsu has no current bundle but portal has queued).|2013-07-10|Closed|Defect|12|0|Complete
GGMA-1261|Organic SIM order INTL page|2013-07-05|Closed|Story|7|0|Complete
GGMA-1263|Review flags portal (India, USA, etc)|2013-07-05|Closed|Story|7|0|Complete
GGMA-1292|Additional Testing for Sprint|2013-07-10|Closed|Story|9|0|Complete
GGMA-1307|Update Refund and Goodwill Credit fields in MS Portal|2013-07-10|Closed|Story|9|0|Complete
GGMA-1315|Highlevel Story Walkthrough & Estimation|2013-07-19|Closed|Story|17|0|Complete
GGMA-1319|Identify Features Only Portal|2013-10-02|Closed|Story|92|0|Complete
GGMA-1321|Branching Process/Walkthrough/Defining|2013-07-19|Closed|Story|17|0|Complete
GGMA-1323|Dependencies List|2013-08-21|Closed|Story|50|0|Complete
GGMA-1324|Prioritised Features and Delivery Plan|2013-07-19|Closed|Story|17|0|Complete
GGMA-1326|Prototying UX Design|2013-10-02|Closed|Story|92|0|Complete
GGMA-1330|Define Project Space|2013-07-19|Closed|Story|17|0|Complete
GGMA-1331|Define how to manage backlog|2013-08-21|Closed|Story|50|0|Complete
GGMA-1332|Mobile Missions Infographic issues|2013-07-03|Closed|Defect|1|0|Fixed
GGMA-1378|Google Tag manager|2013-08-21|Closed|Story|49|0|Complete
GGMA-1391|New select products page for Topup responsive flow|2013-10-02|Closed|Story|89|0|Complete
GGMA-1393|Unable to view entries in Back office for "Replace SIM order"|2015-08-13|Closed|Defect|769|0|Complete
GGMA-1400|Max Top-up Limit (CVSS = 9.0)|2013-09-25|Closed|Story|82|0|Complete
GGMA-1402|PHP Expose Information Disclosure (CVSS = 5.0)|2013-09-25|Closed|Story|82|0|Complete
GGMA-1403|PHP Version Upgrade (CVSS = 4.9)|2015-01-26|Closed|Story|570|0|Complete
GGMA-1404|Clickjacking (CVSS = 2.6)|2013-09-25|Closed|Story|82|0|Complete
GGMA-1405|Directory Listing Available (CVSS = 2.6)|2013-09-25|Closed|Story|82|0|Complete
GGMA-1408|Cookie Without HTTPOnly Flag Set (CVSS = 3.9)|2013-09-25|Closed|Story|82|0|Complete
GGMA-1410|Weak Password Policy (CVSS = 4.0)|2014-10-02|Closed|Story|454|0|Complete
GGMA-1414|Backend logs for SAT Report with 0 data|2013-07-09|Closed|Defect|0|0|Fixed
GGMA-1416|Update to Change MSISDN|2014-12-17|Closed|Story|525|0|Complete
GGMA-1454|Unable to Suspend Member Accounts|2013-07-10|Closed|Defect|0|0|Fixed
GGMA-1458|Removing Opt In|2015-08-13|Closed|Defect|763|0|Complete
GGMA-1459|Overlay INTL|2013-07-19|Closed|Story|8|0|Complete
